tradition,year,title,file,fk_grade,flesch_ease,word_count,type_token_ratio,avg_word_length,avg_sentence_length,hedge_rate,fp_plural_rate,fp_singular_rate,theol_juridical_rate,theol_pastoral_rate,theol_ecumenical_rate,theol_modern_world_rate,theol_scripture_rate,theol_tradition_rate,paraphrased,conservative_resurgence,document_type,pope,pre_vii,council_period,cosine_sim_to_prev
usccb,1919,Program for Social Reconstruction,program_for_social_reconstruction_1919.txt,54.67,-85.54,1424,0.2296,6.111,118.67,0.0,0.02177,0.0,0.0,0.0,0.00562,0.01053,0.0,0.00492,False,,,,,,
usccb,1958,Discrimination and the Christian Conscience,discrimination_and_the_christian_conscience_1958.txt,20.65,2.53,343,0.2216,6.041,31.18,0.0,0.00583,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,,,,,,0.2312
usccb,1968,Human Life in Our Day,human_life_in_our_day_1968.txt,15.38,35.54,14269,0.1969,4.988,28.48,0.00512,0.01535,0.00098,0.00364,0.00182,0.00266,0.00575,0.00133,0.00133,False,,,,,,0.0252
usccb,1979,Brothers and Sisters to Us,brothers_and_sisters_to_us_1979.txt,13.22,41.52,5790,0.2637,4.963,23.16,0.00242,0.02936,0.00259,0.00069,0.00155,0.00207,0.01157,0.00225,0.00086,False,,,,,,0.3367
usccb,1983,The Challenge of Peace,the_challenge_of_peace_1983.txt,12.98,42.37,42942,0.1105,4.959,22.66,0.00417,0.02103,0.00093,0.00163,0.00235,0.00268,0.00915,0.00168,0.00098,False,,,,,,0.2817
usccb,1983,Nuclear Weapons,nuclear_weapons_1983.txt,15.39,21.48,2168,0.2302,5.629,20.65,0.00461,0.00231,0.00046,0.0,0.00046,0.00092,0.00277,0.0,0.0,False,,,,,,0.4013
usccb,1986,Economic Justice for All,economic_justice_for_all_1986.txt,13.06,38.94,56775,0.1013,5.092,21.05,0.00278,0.01464,0.0006,0.00118,0.0024,0.00296,0.01053,0.00118,0.00093,False,,,,,,0.092
usccb,1991,"Renewing the Earth: An Invitation to Reflection and Action on Environment in Light of Catholic Social Teaching, 1991",renewing_the_earth_an_invitation_to_reflection_and_action_on_environment_in_light_of_catholic_social_teaching_1991_1991.txt,13.23,40.86,8973,0.2298,5.034,22.83,0.00334,0.02886,0.00056,0.00089,0.00223,0.00379,0.00825,0.00123,0.00134,False,,,,,,0.5206
usccb,1993,The Harvest of Justice is Sown in Peace,the_harvest_of_justice_is_sown_in_peace_1993.txt,14.99,33.11,16503,0.1706,5.183,25.55,0.00576,0.02181,0.00024,0.002,0.00206,0.004,0.014,0.00067,0.002,False,,,,,,0.4022
usccb,1999,Global Poverty: Debt Relief,global_poverty_debt_relief_1999.txt,14.66,29.89,874,0.3249,5.367,22.41,0.00229,0.00229,0.0,0.00801,0.0,0.0,0.00229,0.0,0.0,False,,,,,,0.0834
usccb,2001,Global Trade,global_trade_2001.txt,13.77,28.84,1260,0.3127,5.406,18.26,0.00476,0.00476,0.00159,0.00159,0.0,0.0,0.00238,0.0,0.0,False,,,,,,0.2623
usccb,2003,International Assistance,international_assistance_2003.txt,12.72,27.1,3222,0.1409,5.655,13.04,0.00435,0.00124,0.0,0.0,0.0,0.00062,0.00403,0.0,0.0,False,,,,,,0.4236
usccb,2005,Co-Workers in the Vineyard of the Lord,co_workers_in_the_vineyard_of_the_lord_2005.txt,14.99,32.63,22624,0.1436,5.21,25.28,0.00451,0.0046,0.00022,0.00429,0.0053,0.00623,0.00358,0.00168,0.00133,False,,,,,,0.0474
usccb,2007,Forming Consciences for Faithful Citizenship,forming_consciences_for_faithful_citizenship_2007.txt,13.57,39.42,18276,0.1603,5.035,23.4,0.00312,0.0197,0.0012,0.00317,0.00181,0.00153,0.00815,0.00164,0.00082,False,,,,,,0.2573
usccb,2015,Autonomous Weapons: Landmines and Drones,autonomous_weapons_landmines_and_drones_2015.txt,27.1,-13.21,1159,0.2597,5.712,48.29,0.0069,0.00173,0.0,0.00173,0.00259,0.0,0.00086,0.0,0.0,False,,,,,,0.1323
usccb,2026,Environment,environment_2026.txt,14.28,31.05,538,0.4294,5.156,21.52,0.00743,0.01487,0.0,0.0,0.00186,0.00186,0.00186,0.0,0.0,False,,,,,,0.0529
lds,1880,1880 04 ia conference report,1880_04_ia_conference_report.txt,12.46,58.16,65287,0.0907,4.304,29.45,0.00611,0.03109,0.01343,0.00201,0.00041,0.00176,0.00242,0.00435,0.00052,False,,,,,,
lds,1897,1897 10 ia conference report,1897_10_ia_conference_report.txt,10.73,65.46,61505,0.0847,4.156,26.57,0.00522,0.02717,0.02323,0.0015,0.00028,0.0019,0.00257,0.0054,0.00021,False,,,,,,0.8388
