tradition,year,title,file,fk_grade,flesch_ease,word_count,type_token_ratio,avg_word_length,avg_sentence_length,hedge_rate,fp_plural_rate,fp_singular_rate,theol_juridical_rate,theol_pastoral_rate,theol_ecumenical_rate,theol_modern_world_rate,theol_scripture_rate,theol_tradition_rate,cosine_sim_to_prev
lds_agg,1880,LDS General Conference 1880,1880.txt,12.46,58.16,65287,0.0907,4.304,29.45,0.00611,0.03109,0.01343,0.00201,0.00041,0.00176,0.00242,0.00435,0.00052,
lds_agg,1897,LDS General Conference 1897,1897.txt,10.73,65.46,61505,0.0847,4.156,26.57,0.00522,0.02717,0.02323,0.0015,0.00028,0.0019,0.00257,0.0054,0.00021,0.9073
lds_agg,1898,LDS General Conference 1898,1898.txt,11.2,62.85,47674,0.1023,4.211,27.01,0.00619,0.03075,0.01733,0.00101,0.00021,0.00292,0.00182,0.00459,0.00036,0.9212
lds_agg,1900,LDS General Conference 1900,1900.txt,10.14,66.92,53506,0.0911,4.157,25.01,0.00632,0.02633,0.02299,0.00325,0.00015,0.0017,0.00239,0.004,0.0003,0.9113
lds_agg,1901,LDS General Conference 1901,1901.txt,11.04,64.61,66472,0.0848,4.134,27.35,0.00519,0.02246,0.02577,0.00197,0.0002,0.00235,0.00329,0.0059,0.0003,0.9523
lds_agg,1902,LDS General Conference 1902,1902.txt,11.61,62.7,78064,0.0804,4.177,28.57,0.00553,0.02005,0.02281,0.00152,0.00022,0.00249,0.00327,0.00505,0.00028,0.9454
lds_agg,1903,LDS General Conference 1903,1903.txt,10.03,65.94,62381,0.09,4.217,24.02,0.00526,0.03209,0.02244,0.00119,0.00016,0.00253,0.00343,0.00369,0.00035,0.9008
lds_agg,1905,LDS General Conference 1905,1905.txt,10.5,65.26,63047,0.0987,4.214,25.51,0.00569,0.02466,0.0187,0.00174,0.0003,0.00197,0.00417,0.00458,0.00025,0.8906
lds_agg,1906,LDS General Conference 1906,1906.txt,11.05,63.34,144439,0.0672,4.237,26.66,0.00542,0.02398,0.01845,0.0015,0.00028,0.00206,0.00383,0.00486,0.00039,0.9575
lds_agg,1907,LDS General Conference 1907,1907.txt,11.67,60.62,154238,0.0695,4.284,27.64,0.00576,0.02156,0.0184,0.00181,0.00021,0.00185,0.00371,0.00438,0.00045,0.9757
lds_agg,1908,LDS General Conference 1908,1908.txt,11.53,62.72,152346,0.0648,4.201,28.25,0.00568,0.02419,0.01973,0.00242,0.00028,0.00194,0.00354,0.00473,0.00053,0.9634
lds_agg,1909,LDS General Conference 1909,1909.txt,11.17,63.44,150697,0.0677,4.207,27.22,0.006,0.02293,0.01966,0.00198,0.00021,0.00188,0.00332,0.00416,0.00036,0.9694
lds_agg,1910,LDS General Conference 1910,1910.txt,11.25,62.87,69495,0.0932,4.208,27.21,0.00544,0.02071,0.02076,0.00092,0.00029,0.00187,0.00305,0.00566,0.00033,0.9642
lds_agg,1911,LDS General Conference 1911,1911.txt,11.72,61.73,160887,0.0632,4.217,28.46,0.00522,0.02239,0.01699,0.00167,0.00022,0.00175,0.00449,0.00438,0.00037,0.9591
lds_agg,1912,LDS General Conference 1912,1912.txt,11.98,60.88,81959,0.0888,4.228,29.05,0.00575,0.02348,0.01786,0.00222,0.00033,0.00203,0.00372,0.0058,0.00041,0.9585
lds_agg,1913,LDS General Conference 1913,1913.txt,12.04,60.87,84968,0.0851,4.215,29.25,0.00481,0.02227,0.02082,0.00194,0.00015,0.00207,0.00428,0.00541,0.00055,0.9521
lds_agg,1914,LDS General Conference 1914,1914.txt,11.92,60.58,156430,0.0667,4.248,28.63,0.00561,0.02122,0.0165,0.00167,0.00035,0.00203,0.00396,0.00417,0.0003,0.9599
